CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,ProductDiversity,Country,AvgItemsPerOrder,SpendingVariability,CustomerLifetimeDays
12346,326,1,77183.6,1,1,4,1.9,Needs Attention,1,United Kingdom,74215.0,0.0,0
12347,2,7,4310.0,4,4,4,4.0,Champions,103,Iceland,13.505494505494505,23.28990231050118,365
12348,75,4,1797.24,2,3,4,2.9,Loyal,22,Finland,75.51612903225806,48.51485730087981,282
12349,19,1,1757.55,3,1,4,2.7,Loyal,73,Italy,8.643835616438356,34.655912704589504,0
12350,310,1,334.4,1,1,2,1.2999999999999998,At Risk,17,Norway,11.588235294117647,7.275538185065964,0
12352,36,8,2506.04,3,4,4,3.6000000000000005,Champions,59,Norway,6.305882352941176,51.68790029756352,260
12353,204,1,89.0,1,1,1,1.0,At Risk,4,Bahrain,5.0,12.215427404174878,0
12354,232,1,1079.4,1,1,3,1.5999999999999999,Needs Attention,58,Spain,9.137931034482758,8.679742086377074,0
12355,214,1,459.4,1,1,2,1.2999999999999998,At Risk,13,Bahrain,18.46153846153846,29.70352219466962,0
12356,23,3,2811.43,3,3,4,3.3,Loyal,53,Portugal,26.966101694915253,48.5722968956169,302
12357,33,1,6207.67,3,1,4,2.7,Loyal,131,Switzerland,20.671755725190838,39.564761618762496,0
12358,2,2,1168.06,4,2,3,3.1,Loyal,13,Austria,13.052631578947368,52.27752321904825,149
12359,58,4,6372.58,2,3,4,2.9,Loyal,214,Cyprus,6.540322580645161,31.33620817089572,274
12360,52,3,2662.06,2,3,4,2.9,Loyal,105,Austria,9.031007751937985,21.394617726708653,148
12361,287,1,189.9,1,1,1,1.0,At Risk,10,Belgium,9.1,3.280396317520186,0
12362,3,10,5226.23,4,4,4,4.0,Champions,201,Belgium,8.3796992481203,9.664671282056696,292
12363,110,2,552.0,2,2,2,2.0,Needs Attention,23,Unspecified,17.73913043478261,15.751238912311859,132
12364,8,4,1313.1,4,3,3,3.4,Loyal,70,Belgium,17.71764705882353,8.910810071730504,104
12365,291,2,641.38,1,2,2,1.6,Needs Attention,22,Cyprus,7.909090909090909,65.1966351414414,0
12367,4,1,168.9,4,1,1,2.2,Needs Attention,11,Denmark,15.727272727272727,5.648958069655612,0
12370,51,4,3545.69,3,3,4,3.3,Loyal,143,Cyprus,14.089820359281438,21.116236420001904,309
12371,45,2,1887.96,3,2,4,3.0,Loyal,63,Switzerland,9.380952380952381,44.277857887191665,14
12372,72,3,1298.04,2,3,3,2.5999999999999996,Loyal,34,Denmark,15.26923076923077,16.382581689264665,224
12373,311,1,364.6,1,1,2,1.2999999999999998,At Risk,14,Austria,14.071428571428571,10.26028296848613,0
12374,25,1,742.9300000000001,3,1,3,2.4000000000000004,Needs Attention,33,Austria,10.363636363636363,19.774010639733735,0
