CleanText,Sentiment,Score,TextLength,WordCount
great cheese a very tasty and well made cheese. quality was as good as any other version of this i've had. came well wrapped and chilled.,positive,5,137,26
gross i love italian wedding and campbell's own regular kind...but this one really traded in good taste (or any flavor) for calories. eww.,negative,1,138,23
"love them yummy! these cookies are delicious, even more favorable they are organic and organic being sold at a decent price! enjoy!",positive,5,131,22
"filler food is empty, leaves your cat always needing more this review will make me sound really stupid, but whatever. i don't really care as long as people find out what's real and can avoid my mistakes.i got my wonderful little sweet bella bean when she was a few days shy of three years old. she had been bounced around from house to house and eating whatever was cheap. i have had cats around me my entire life, for about twenty-five years now. my mother always just fed them whatever, the kinds of food you buy in the supermarket - friskies, nine lives, kit & kaboodle, stuff like that. and our cats were always fine, at least in terms of their eating habits. they would eat in the morning, stop when they were done, come back, and eat some more when they got hungry.my housemate at the time was working for hill's and assured me that this was the best food ever made, so great, so on and so forth. i now know that she is an utter buffoon, but i initially trusted her judgment, which is so unfortunate because she doesn't think. she also had plenty of coupons for free or deeply discounted bags, which made it a much more attractive choice.i first tried feeding the little bean an unmeasured amount of science diet in a bowl, but that didn't work, as she would devour it in one sitting. so then i took to measuring it, and she did the same thing. then i started parsing it out to twice a day. that didn't work either, because she would start going crazy in the middle of the day, running around, intentionally destroying things, deliberately spilling her water, crying, etc., until she got more food. so then i split it into three servings. same thing. then it got to be four servings. that was a little better, but it was too much maintenance and unrealistic to be around every day to feed her four times. so then it went back to three. all the while, i was trying to reduce the amount of food i was feeding her to less than 3/4 of a cup because she was a little chubby. reducing was hell. she became even more hungry, but i figured she would get used to it. not really.for over a year, she would wake me up every morning looking for food in a serious way, knocking things off my desk, ripping up any paper she could find, scratching at the door and committing general acts of mischief. as soon as she got food, she was back to her sweet self, but only for three or four hours.we thought she was bored, we thought she was a little nutty, and maybe even had a kitty eating disorder. she always wanted food. it was kind of funny but in the end it was just sad.a few weeks back, we took her to a new (good, non-money factory) vet for her second checkup since i've had her. i talked with him about her being always hungry. he asked what she ate, and i told him the adult indoor science diet. without saying as much, he basically told me that this food is garbage and i should look for something else. he said cat food should have a protein followed by a carbohydrate as the first two ingredients. science diet does, in a very loose, by-product kind of way - ground up slaughterhouse leftovers and corn dust. then they put a bunch of vitamins in it to make it ""healthy,"" instead of just using good ingredients from the beginning. not that i care about spending money on the bean, but this food is way too expensive for what it is.so we began transitioning her onto wellness indoor formula about two weeks ago. she is still eating 50 percent science diet with 50 percent wellness (you really shouldn't just give a cat different food one day out of the blue) but she never freaks out anymore. it's amazing. and it's 100 percent because she is eating real food now, along with that sawdust and chicken hearts i still regrettable have to feed her. we have her down to eating twice a day, only 1/3 cup in total. she was eating three times a day, 5/8 of a cup in total. now she eats some in the morning, walks away, eats some more a few hours later, and then looks for dinner about twelve hours after her initial feeding. no more knocking things over, no more trashing dad's papers on the desk, no more howling, no more deliberately spilled water on the floor. it's incredible.i feel so bad that i was doing this to her for so long. we really thought she was just being dramatic or whatever. but no, she was genuinely hungry because she wasn't eating any real food.do your cat a favor - buy her or him so food made with real ingredients, things you would eat - wellness, halo, innova, evo, whatever. figure it out for yourself, but please don't feed your cat this. it's garbage.",negative,1,4572,856
"did not send the brand advertised after ordering these for 3 years for my dog, they sent a different brand distributed by radio systems corp, made in china. granted, when i look at what's remaining of my last package of premier busy buddy gnawhide refil ring (as advertised), it also was made in china. it just annoys me that they have changed their distributor/manufacturer.......and haven't changed what they advertise they are selling. i will return these and find another company to order from. perhaps premier busy buddy gnawhide rings no longer exist and i'll have to find another favorite treat for my beloved dog. buyer beware",negative,1,634,106
"coconut flavored coffee i love this coffee, especially with almond joy coffee creamer. you can only purchase this coffee in the spring and summer. last year i was devastated because i couldn't find it. this yr i purchased a couple of boxes to keep me in supply. i was not a coffee drinker till the flavored ones came out. thank you amazon for carrying this product and also the quick delivery.",positive,5,393,71
"awesome snack great snack... perfect for little ones, my son was about 9 months old when i introduced him. and loves them!",positive,5,122,22
"paul newman squished prunes from amazon up to the point of buying paul newman's prunes i was very happy with his products. i had been buying del monte prunes. i like the del monte, but paul's were ""organic,"" so i thought i would try them even though they are about twice the cost. when i received them they were in a ""zip-lock"" style bag very similar to the del monte. the big difference is paul's are vacuum packed so it seems. no air in the package at all. the prunes were all mashed together in one big blob. when i tried to separated the prunes with a fork they kind of came apart. what a mess. i would never buy these again, and i certainly would not recommend them. i'm going back to del monte.",negative,1,700,135
poor taste i love the machine but hate the flavors. a terrible after taste. the only flavor that one can drink is the lemon lime. i am looking for another place that sells the syrups.,negative,1,183,35
"where is the dark chocolate truffle? gevalia usually produces good coffee with flavors that are not mellow but robust! this coffee was not like that all, it just has a hint of chocolate taste, and that was before adding creamer to my coffee, once adding that i did not even taste the chocolate, it tasted like regular black coffee with creamer; how disappointing! while the smell of the coffee is great when you open the vacuum pack, don't let it fool you into thinking it will taste like that!",positive,5,494,89
